ID,Area,Severity,Likelihood,Issue / failure mode,Likely cause,Consequence,Diagnostic test,Clean pass criteria,Earliest stage to catch,Parallel work package,Source / code anchor
CASE-02,Temporary case builder,High,Medium,Existing toPSAil call receives unsupported Yang labels.,Literature labels are passed directly into native step parsers.,Simulation fails late or silently falls back to wrong boundary behavior.,"Translation coverage test for AD, AD&PP, EQI-BD, PP, EQII-BD, BD, PU, EQII-PR, EQI-PR, BF.",No Yang label reaches core machinery without an explicit native representation and metadata.,Conceptual design,WP1/WP4,native step grammar
CASE-03,Temporary case builder,Medium,Medium,Local bed indices obscure global bed identity in logs and outputs.,Temporary cases use A-1/A-2 style labels without wrapper metadata.,Debugging and ledger reconciliation become ambiguous.,Output/log audit after a crossed pair and a single-bed operation.,"Every log/ledger row carries global bed label, local index, operation label, and slot ID.",Pilot,WP4/WP5,output metadata
LEDGER-01,Ledger/metrics,Critical,High,Internal direct transfers are counted as external product.,"Product, purge, equalization, and backfill streams are aggregated without accounting categories.",H2 recovery and purity comparison to Yang becomes invalid.,Independent component ledger with external feed/product/waste and internal transfer categories.,Internal transfer streams close conservation but do not increase external product totals.,Pilot,WP5,Yang recovery/purity basis
LEDGER-02,Ledger/metrics,High,High,AD&PP/BF split is mishandled.,A donor bed simultaneously produces external product and supplies BF gas to a companion bed.,External product flow is overcounted or BF receives the wrong composition.,Synthetic AD&PP/BF test with known product split and known receiver state.,BF internal use and external product are separately reported and component-balanced.,Pilot,WP5,Yang steps b/j
LEDGER-03,Ledger/metrics,High,Medium,Slot-level component balance does not close.,Multiple sequential temporary calls are accumulated without a common accounting convention.,Numerical or bookkeeping errors hide behind aggregate cycle metrics.,"For every slot, compare feed input, external product, waste, internal transfer, and bed inventory change by component.",Per-slot and per-cycle balances close within tolerance; residuals are reported.,Pilot,WP5,ledger design
CSS-01,CSS,High,Medium,CSS is checked on only one bed or one local temporary case.,Existing two-bed-era convergence logic is reused without all-bed aggregation.,Simulation stops before A/B/C/D have all converged.,Compute per-bed and overall residuals across state_A/state_B/state_C/state_D at cycle boundary.,Release stops only when all-bed residual criteria pass or a maximum-cycle limit is reported.,Pilot,WP5,toPSAil CSS metrics
CSS-02,CSS,Medium,Medium,Thermal CSS converges slower than composition CSS.,Yang-style non-isothermal beds can retain slow wall/temperature dynamics.,Cycle appears converged on purity while thermal states are still drifting.,"Track c, q, gas temperature, and wall temperature residuals separately for all beds.",CSS report identifies which state family controls convergence.,Pilot,WP5,Yang CSS discussion
PARAM-01,Physical model,High,Medium,Layered activated carbon/zeolite bed support is assumed rather than verified.,Yang uses layered beds; toPSAil configuration may require special axial material handling.,Schedule may be correct but Yang reproduction remains physically mismatched.,Audit parameter structures for layer-dependent adsorbent/isotherm assignment.,Layered-bed support is confirmed or the pilot is labeled as a homogeneous surrogate.,Feasibility,WP1/WP4,Yang adsorbent/bed description
PARAM-02,Physical model,High,Medium,Yang model assumptions do not exactly match toPSAil assumptions.,"Yang includes non-isothermal, non-adiabatic dynamics with momentum balance and axial dispersion; toPSAil CIS formulation has its own discretization assumptions.",Disagreement with Yang performance may be blamed on scheduling when it is model mismatch.,"Model comparison register for dispersion, pressure drop, heat transfer, isotherms, kinetics, and layers.",Known mismatches are documented before any validation claim.,Feasibility,WP1/WP5,Yang model section; toPSAil model section
FLOW-01,Pressure/flow,High,Medium,Fixed-duration direct coupling misses intended pressure endpoints.,Existing valve or flow settings are reused from tank interpretation.,Equalization/backfill stages terminate at implausible pressure classes.,Pressure ladder audit after every operation group.,Pressures follow the chosen Yang pressure classes or deviations are documented.,Pilot,WP4,Yang pressure history
FLOW-02,Pressure/flow,Medium,Low,Flow reversals during direct coupling are not logged.,Paired calls can expose edge cases in pressure-driven or flow-driven modes.,Conservation residuals or solver failures are hard to diagnose.,"Flow-sign audit for EQI, EQII, PP/PU, and AD&PP/BF toy cases.","Reversals are finite, interpretable, and balance residuals remain within tolerance.",Pilot,WP4,toPSAil flow-direction framework
EVENT-01,Events,Medium,Medium,Event control is added before the fixed-duration wrapper works.,Event objectives across multiple named beds can conflict.,Debugging shifts from architecture errors to event-policy ambiguity.,Stage gate forbids event-driven Yang runs before fixed-duration direct-coupling tests pass.,Initial release uses fixed durations; events are a later refinement with explicit precedence policy.,Stage gate,WP1/WP5,toPSAil event discussion
IO-01,Input/UI,Medium,High,Excel/GUI paths remain two-bed oriented.,Published UI was simplified around two adsorbers even if code internals support more.,Four-bed tests become brittle or platform-dependent.,Build programmatic inputs for wrapper tests and avoid GUI dependence.,A four-bed wrapper test can be constructed and run from code without macro/GUI assumptions.,Detailed design,WP4,toPSAil input workflow
VALID-01,Validation,Critical,High,No direct-coupling regression tests protect the rewrite.,Architecture simplification removes one class of complexity but adds mapping/writeback risk.,"Future edits reintroduce tanks, wrong pairings, or metric double-counting.","Automated test suite covering manifest, pair map, state writeback, conservation, CSS, and two-bed regressions.",All smoke tests run before any Yang performance comparison.,Feasibility,WP1-WP5,test matrix
VALID-02,Validation,High,Medium,Toy cases pass but Yang failure is not localized.,A single full Yang pilot is attempted without diagnostic staging.,"Failure root cause is ambiguous: manifest, pairing, physics, numerics, or metrics.","Use staged validation: static, inert, direct-pair toy cases, duplicated two-bed cases, then Yang skeleton.",No later gate starts until previous gate has recorded pass/fail evidence.,Pilot,WP1-WP5,stage-gate plan
DOC-01,Documentation,Medium,High,Result assumptions are not visible at output time.,"No-tank, no-global-RHS, fixed-duration, metric-basis, and model-mismatch assumptions are left implicit.",Later comparisons appear stronger than the model warrants.,Run-output checklist checks for architecture and metric-basis metadata.,"Every run artifact states wrapper mode, direct-pair map version, event policy, holdup assumption, and metric basis.",Detailed design,WP5,run metadata/output design
GOV-01,Project control,Medium,High,Parallel agents produce incompatible implementations.,"Manifest, pair map, state container, case builder, and ledger schemas are not shared.",Individually plausible pieces fail to compose.,Interface contract review before implementation.,All work packages exchange typed schemas and handoff tests before coding begins.,Conceptual design,WP1-WP5,work-package plan
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
